#L	<tau_Ekin>	error		Iz/Ig		error	
8	473.4054 11.699092243552826 0.0007162038949521242 5.622058686392583e-07
16	1133.83215 28.164006048807 0.0001867814958500466 3.606442814264628e-07
32	2550.3185 58.944150239978505 4.8240179184509324e-05 8.746989352350137e-08
48	4090.058999999999 107.1885454207727 2.1755878353409558e-05 3.05109054018018e-08
64	5571.2135 131.47685788216035 1.2419363555818524e-05 2.5212181180101432e-08
#96	8305.344736842104 179.4655131743391 5.609944835554949e-06 1.782929885208214e-08
96	6887.224499999999 174.2295040327934 5.578600129715549e-06 2.669173642987846e-08
#128	8691.4135 107.96395235953572 3.1681401671244142e-06 2.0567787393172796e-08
128	9389.591000000002 357.9625869842736 3.1665544111650323e-06 1.8622787154178978e-08


